Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"24", 4.16, 1,    2356.56,  -32.9,   0.98118, 2,    2452.58, -151.1,    1.0212, 3,    2393.36,   88.7,    0.9965
"25", 4.16, 1,    2354.91,  -32.9,   0.98049, 2,    2452.71, -151.2,    1.0212, 3,    2394.85,   88.7,   0.99712
"26", 4.16, 1,    2354.96,  -32.9,   0.98051, 2,     2452.6, -151.1,    1.0212, 3,    2393.98,   88.6,   0.99675
"28", 4.16, 1,    2354.04,  -32.9,   0.98012, 2,    2453.25, -151.2,    1.0214, 3,    2394.04,   88.7,   0.99678
"27", 4.16, 1,     2354.5,  -32.9,   0.98032, 2,    2452.62, -151.2,    1.0212, 3,    2394.16,   88.6,   0.99683
"31", 4.16, 1,    2355.17,  -32.9,   0.98059, 2,    2452.83, -151.1,    1.0213, 3,    2392.63,   88.6,   0.99619
"33", 4.16, 1,    2353.96,  -32.9,   0.98009, 2,    2452.35, -151.2,    1.0211, 3,    2394.58,   88.6,     0.997
"29", 4.16, 1,    2353.66,  -32.9,   0.97997, 2,    2453.61, -151.1,    1.0216, 3,    2392.95,   88.6,   0.99633
"30", 4.16, 1,     2354.3,  -33.0,   0.98023, 2,     2453.5, -151.1,    1.0215, 3,    2391.85,   88.6,   0.99587
"250", 4.16, 1,     2354.3,  -33.0,   0.98023, 2,     2453.5, -151.1,    1.0215, 3,    2391.85,   88.6,   0.99587
"32", 4.16, 1,    2355.31,  -32.9,   0.98065, 2,    2452.98, -151.1,    1.0213, 3,    2391.73,   88.6,   0.99582
"35", 4.16, 1,    2351.49,  -32.9,   0.97906, 2,    2446.93, -151.2,    1.0188, 3,    2398.01,   88.7,   0.99843
"36", 4.16, 1,    2349.27,  -32.9,   0.97814, 2,    2445.78, -151.3,    1.0183, 3,     2398.7,   88.7,   0.99872
"40", 4.16, 1,    2348.06,  -33.0,   0.97763, 2,    2445.14, -151.2,    1.0181, 3,     2395.2,   88.6,   0.99726
"37", 4.16, 1,    2347.52,  -32.9,   0.97741, 2,    2446.08, -151.3,    1.0184, 3,    2399.02,   88.7,   0.99885
"38", 4.16, 1,    2349.51,  -32.9,   0.97824, 2,     2444.3, -151.3,    1.0177, 3,    2398.97,   88.7,   0.99883
"39", 4.16, 1,    2349.66,  -32.9,    0.9783, 2,    2443.35, -151.3,    1.0173, 3,    2399.15,   88.7,    0.9989
"41", 4.16, 1,    2348.21,  -33.0,    0.9777, 2,     2445.3, -151.2,    1.0181, 3,    2394.22,   88.6,   0.99685
"42", 4.16, 1,    2344.17,  -33.0,   0.97601, 2,    2443.03, -151.3,    1.0172, 3,    2393.12,   88.6,    0.9964
"43", 4.16, 1,    2344.64,  -33.0,   0.97621, 2,       2440, -151.3,    1.0159, 3,    2393.67,   88.6,   0.99663
"44", 4.16, 1,    2341.49,  -33.0,    0.9749, 2,     2441.8, -151.3,    1.0167, 3,    2391.17,   88.6,   0.99558
"45", 4.16, 1,       2340,  -33.0,   0.97428, 2,       2442, -151.3,    1.0167, 3,    2392.35,   88.6,   0.99608
"47", 4.16, 1,    2339.27,  -33.1,   0.97398, 2,    2439.58, -151.3,    1.0157, 3,    2388.44,   88.5,   0.99445
"46", 4.16, 1,    2339.08,  -33.0,    0.9739, 2,    2442.16, -151.3,    1.0168, 3,    2392.52,   88.6,   0.99615
"48", 4.16, 1,    2338.76,  -33.1,   0.97376, 2,    2439.11, -151.3,    1.0155, 3,    2387.68,   88.5,   0.99413
"49", 4.16, 1,    2338.59,  -33.1,   0.97369, 2,    2438.25, -151.3,    1.0152, 3,    2387.67,   88.5,   0.99413
"50", 4.16, 1,    2338.54,  -33.1,   0.97367, 2,    2438.32, -151.3,    1.0152, 3,    2386.85,   88.5,   0.99378
"51", 4.16, 1,    2338.14,  -33.1,    0.9735, 2,    2438.51, -151.3,    1.0153, 3,    2386.82,   88.5,   0.99377
"151", 4.16, 1,    2338.14,  -33.1,    0.9735, 2,    2438.51, -151.3,    1.0153, 3,    2386.82,   88.5,   0.99377
"52", 4.16, 1,       2366,  -32.5,    0.9851, 2,    2454.26, -151.1,    1.0219, 3,     2410.1,   88.6,    1.0035
"53", 4.16, 1,    2359.88,  -32.6,   0.98255, 2,    2451.56, -151.1,    1.0207, 3,    2406.36,   88.6,    1.0019
"54", 4.16, 1,    2356.45,  -32.6,   0.98113, 2,    2449.65, -151.2,    1.0199, 3,    2404.05,   88.6,    1.0009
"55", 4.16, 1,    2355.95,  -32.6,   0.98092, 2,    2449.47, -151.2,    1.0199, 3,    2404.22,   88.6,     1.001
"57", 4.16, 1,    2347.94,  -32.7,   0.97758, 2,    2442.35, -151.2,    1.0169, 3,    2398.71,   88.5,   0.99872
"56", 4.16, 1,    2355.88,  -32.6,   0.98089, 2,    2449.05, -151.2,    1.0197, 3,    2404.43,   88.6,    1.0011
"58", 4.16, 1,    2348.17,  -32.6,   0.97768, 2,    2440.87, -151.2,    1.0163, 3,    2398.99,   88.5,   0.99884
"60", 4.16, 1,    2329.96,  -32.8,    0.9701, 2,    2429.04, -151.3,    1.0114, 3,    2385.93,   88.5,    0.9934
"59", 4.16, 1,    2348.29,  -32.6,   0.97773, 2,    2440.13, -151.2,     1.016, 3,    2399.12,   88.5,   0.99889
"61", 4.16, 1,    2331.96,  -32.8,   0.97093, 2,     2430.3, -151.3,    1.0119, 3,    2387.79,   88.5,   0.99418
"62", 4.16, 1,    2329.33,  -32.8,   0.96984, 2,    2425.94, -151.3,    1.0101, 3,    2380.94,   88.4,   0.99133
"63", 4.16, 1,    2328.74,  -32.8,   0.96959, 2,    2423.59, -151.3,    1.0091, 3,    2378.49,   88.4,    0.9903
"64", 4.16, 1,    2329.71,  -32.8,   0.96999, 2,    2418.52, -151.2,     1.007, 3,     2373.2,   88.4,    0.9881
"65", 4.16, 1,    2330.19,  -32.7,   0.97019, 2,    2417.07, -151.2,    1.0064, 3,    2365.88,   88.4,   0.98505
"66", 4.16, 1,    2332.37,  -32.8,    0.9711, 2,    2417.13, -151.2,    1.0064, 3,    2362.15,   88.3,    0.9835
"67", 4.16, 1,    2322.02,  -33.0,   0.96679, 2,    2424.88, -151.4,    1.0096, 3,    2380.75,   88.5,   0.99125
"68", 4.16, 1,    2318.29,  -33.0,   0.96524, 2,    2425.53, -151.4,    1.0099, 3,    2381.42,   88.5,   0.99152
"72", 4.16, 1,    2319.64,  -33.0,    0.9658, 2,    2418.65, -151.5,     1.007, 3,    2377.84,   88.4,   0.99003
"97", 4.16, 1,     2320.6,  -33.0,    0.9662, 2,    2426.38, -151.4,    1.0102, 3,    2380.65,   88.5,    0.9912
"69", 4.16, 1,    2314.01,  -33.0,   0.96346, 2,    2426.27, -151.5,    1.0102, 3,    2382.19,   88.5,   0.99184
"70", 4.16, 1,    2310.98,  -33.0,    0.9622, 2,     2426.8, -151.5,    1.0104, 3,    2382.73,   88.6,   0.99207
"71", 4.16, 1,    2309.27,  -33.0,   0.96148, 2,     2427.1, -151.5,    1.0105, 3,    2383.04,   88.6,    0.9922
"73", 4.16, 1,    2321.75,  -33.0,   0.96668, 2,    2419.04, -151.4,    1.0072, 3,    2372.81,   88.4,   0.98794
"76", 4.16, 1,    2316.69,  -33.0,   0.96457, 2,     2414.7, -151.5,    1.0054, 3,    2377.42,   88.4,   0.98986
"74", 4.16, 1,    2324.12,  -33.0,   0.96767, 2,    2419.18, -151.4,    1.0072, 3,    2368.54,   88.4,   0.98616
"75", 4.16, 1,    2326.47,  -33.0,   0.96864, 2,    2418.94, -151.4,    1.0071, 3,    2366.01,   88.4,   0.98511
"77", 4.16, 1,    2315.32,  -33.0,     0.964, 2,    2412.84, -151.6,    1.0046, 3,    2376.77,   88.4,   0.98959
"86", 4.16, 1,     2312.4,  -33.0,   0.96279, 2,    2408.63, -151.7,    1.0029, 3,    2379.15,   88.4,   0.99058
"78", 4.16, 1,    2314.86,  -33.0,   0.96381, 2,    2412.83, -151.6,    1.0046, 3,    2376.34,   88.4,   0.98941
"79", 4.16, 1,    2313.82,  -33.1,   0.96338, 2,    2413.33, -151.6,    1.0048, 3,    2376.57,   88.4,   0.98951
"80", 4.16, 1,     2314.9,  -33.1,   0.96383, 2,    2411.68, -151.6,    1.0041, 3,    2373.82,   88.3,   0.98836
"81", 4.16, 1,    2314.98,  -33.1,   0.96386, 2,    2411.81, -151.6,    1.0042, 3,    2372.62,   88.3,   0.98786
"82", 4.16, 1,    2314.39,  -33.1,   0.96362, 2,    2412.12, -151.6,    1.0043, 3,     2372.1,   88.3,   0.98765
"84", 4.16, 1,    2315.91,  -33.1,   0.96425, 2,    2412.83, -151.5,    1.0046, 3,    2366.47,   88.3,    0.9853
"83", 4.16, 1,    2314.62,  -33.1,   0.96371, 2,    2412.07, -151.6,    1.0043, 3,    2371.71,   88.3,   0.98748
"85", 4.16, 1,    2316.34,  -33.1,   0.96443, 2,    2413.31, -151.5,    1.0048, 3,    2363.58,   88.3,    0.9841
"87", 4.16, 1,    2309.84,  -33.1,   0.96172, 2,    2405.52, -151.8,    1.0016, 3,    2379.34,   88.4,   0.99066
"88", 4.16, 1,    2308.75,  -33.1,   0.96127, 2,    2405.71, -151.8,    1.0016, 3,    2379.54,   88.4,   0.99074
"89", 4.16, 1,    2309.26,  -33.1,   0.96148, 2,    2404.09, -151.8,     1.001, 3,    2379.18,   88.4,   0.99059
"90", 4.16, 1,     2309.5,  -33.0,   0.96158, 2,    2402.59, -151.8,    1.0003, 3,    2379.45,   88.3,    0.9907
"91", 4.16, 1,    2308.87,  -33.1,   0.96132, 2,    2403.62, -151.8,    1.0008, 3,     2378.7,   88.4,   0.99039
"92", 4.16, 1,    2309.14,  -33.1,   0.96143, 2,    2403.92, -151.8,    1.0009, 3,    2376.89,   88.4,   0.98964
"93", 4.16, 1,    2308.06,  -33.1,   0.96098, 2,    2403.24, -151.8,    1.0006, 3,    2378.94,   88.4,   0.99049
"94", 4.16, 1,    2306.34,  -33.1,   0.96027, 2,    2403.54, -151.8,    1.0007, 3,    2379.24,   88.4,   0.99062
"95", 4.16, 1,    2307.96,  -33.1,   0.96094, 2,     2402.3, -151.8,    1.0002, 3,    2379.39,   88.4,   0.99068
"96", 4.16, 1,    2308.05,  -33.1,   0.96098, 2,     2401.7, -151.8,   0.99997, 3,     2379.5,   88.4,   0.99073
"98", 4.16, 1,     2320.9,  -33.0,   0.96632, 2,    2426.77, -151.4,    1.0104, 3,    2380.92,   88.6,   0.99132
"99", 4.16, 1,    2321.55,  -33.0,    0.9666, 2,    2424.77, -151.4,    1.0096, 3,    2380.19,   88.5,   0.99101
"100", 4.16, 1,    2322.01,  -33.0,   0.96679, 2,    2424.62, -151.4,    1.0095, 3,    2379.26,   88.5,   0.99063
"450", 4.16, 1,    2322.01,  -33.0,   0.96679, 2,    2424.62, -151.4,    1.0095, 3,    2379.26,   88.5,   0.99063
"101", 4.16, 1,    2319.27,  -33.0,   0.96565, 2,    2427.25, -151.4,    1.0106, 3,    2379.92,   88.6,    0.9909
"102", 4.16, 1,    2319.47,  -33.1,   0.96573, 2,    2428.88, -151.3,    1.0113, 3,    2377.25,   88.6,   0.98979
"105", 4.16, 1,    2316.89,  -33.0,   0.96466, 2,    2427.87, -151.4,    1.0109, 3,    2381.32,   88.6,   0.99148
"103", 4.16, 1,    2320.07,  -33.1,   0.96598, 2,    2431.08, -151.3,    1.0122, 3,     2372.8,   88.6,   0.98794
"104", 4.16, 1,    2320.72,  -33.2,   0.96625, 2,    2435.12, -151.2,    1.0139, 3,    2367.46,   88.6,   0.98571
"106", 4.16, 1,    2317.31,  -33.0,   0.96483, 2,    2425.21, -151.4,    1.0098, 3,    2381.81,   88.6,   0.99169
"108", 4.16, 1,    2313.28,  -33.1,   0.96315, 2,    2429.45, -151.4,    1.0115, 3,    2380.97,   88.7,   0.99134
"107", 4.16, 1,    2317.84,  -33.0,   0.96505, 2,    2421.81, -151.4,    1.0083, 3,    2382.43,   88.6,   0.99194
"109", 4.16, 1,    2303.73,  -33.1,   0.95918, 2,    2431.11, -151.5,    1.0122, 3,     2382.7,   88.7,   0.99206
"300", 4.16, 1,    2313.28,  -33.1,   0.96315, 2,    2429.45, -151.4,    1.0115, 3,    2380.97,   88.7,   0.99134
"110", 4.16, 1,    2299.24,  -33.1,   0.95731, 2,    2431.89, -151.5,    1.0125, 3,    2383.51,   88.8,   0.99239
"111", 4.16, 1,    2297.44,  -33.1,   0.95656, 2,     2432.2, -151.5,    1.0127, 3,    2383.83,   88.8,   0.99253
"112", 4.16, 1,    2297.76,  -33.1,   0.95669, 2,    2432.14, -151.5,    1.0126, 3,    2383.78,   88.8,   0.99251
"113", 4.16, 1,    2293.11,  -33.1,   0.95476, 2,    2432.95, -151.6,     1.013, 3,    2384.62,   88.8,   0.99286
"114", 4.16, 1,    2292.09,  -33.1,   0.95433, 2,    2433.13, -151.6,    1.0131, 3,     2384.8,   88.8,   0.99293
"115", 4.16, 1,    2338.99,  -33.1,   0.97386, 2,    2439.47, -151.3,    1.0157, 3,    2387.29,   88.5,   0.99397
"116", 4.16, 1,    2313.45,  -33.1,   0.96322, 2,    2413.54, -151.6,    1.0049, 3,    2376.91,   88.4,   0.98964
"117", 4.16, 1,    2317.75,  -33.0,   0.96502, 2,    2428.85, -151.4,    1.0113, 3,    2382.05,   88.6,   0.99179
