Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.L59, 6.093818, -51.98023, 6.093818, -51.98023, 0, 0
Line.L60, 117.0839, 227.8029, 117.0839, 227.8029, 0, 0
Line.L61, 537.7732, 208.924, 537.7732, 208.924, 0, 0
Line.L62, 276.8559, 96.70163, 276.8559, 96.70163, 0, 0
Line.L63, 555.0126, 193.2144, 555.0126, 193.2144, 0, 0
Line.L64, 440.6164, 129.9525, 440.6164, 129.9525, 0, 0
Line.L65, 146.287, 2.335148, 146.287, 2.335148, 0, 0
Line.L66, 193.8053, 52.72324, 193.8053, 52.72324, 0, 0
Line.L67, 782.9282, 1589.826, 782.9282, 1589.826, 0, 0
Line.L68, 68.46979, 145.3479, 68.46979, 145.3479, 0, 0
Line.L69, 185.2419, 32.3591, 185.2419, 32.3591, 0, 0
Line.L70, 78.92585, -30.94574, 78.92585, -30.94574, 0, 0
Line.L71, 29.69982, -44.49989, 29.69982, -44.49989, 0, 0
Line.L72, 277.1255, 77.70296, 277.1255, 77.70296, 0, 0
Line.L73, 468.8315, 984.7684, 468.8315, 984.7684, 0, 0
Line.L74, 173.463, 10.41012, 173.463, 10.41012, 0, 0
Line.L75, 77.23969, -47.79642, 77.23969, -47.79642, 0, 0
Line.L76, 60.7961, 118.1625, 60.7961, 118.1625, 0, 0
Line.L77, 280.4433, 604.1043, 280.4433, 604.1043, 0, 0
Line.L78, 15.01456, 30.50404, 15.01456, 30.50404, 0, 0
Line.L79, 15.33387, 33.47565, 15.33387, 33.47565, 0, 0
Line.L80, 64.14257, 120.2637, 64.14257, 120.2637, 0, 0
Line.L81, 23.79778, 46.41232, 23.79778, 46.41232, 0, 0
Line.L82, 8.649188, 13.44486, 8.649188, 13.44486, 0, 0
Line.L83, 156.3827, -67.00952, 156.3827, -67.00952, 0, 0
Line.L84, 1.963493, -1.09765, 1.963493, -1.09765, 0, 0
Line.L85, 48.96486, -77.26842, 48.96486, -77.26842, 0, 0
Line.L86, 143.8136, 304.084, 143.8136, 304.084, 0, 0
Line.L87, 18.9092, -28.0388, 18.9092, -28.0388, 0, 0
Line.L88, 36.50198, 72.04445, 36.50198, 72.04445, 0, 0
Line.L89, 25.20006, -41.6044, 25.20006, -41.6044, 0, 0
Line.L90, 14.02346, 23.71311, 14.02346, 23.71311, 0, 0
Line.L91, 30.58268, -48.90468, 30.58268, -48.90468, 0, 0
Line.L92, 11.87018, 22.34456, 11.87018, 22.34456, 0, 0
Line.L93, 29.77521, -43.95361, 29.77521, -43.95361, 0, 0
Line.L94, 9.088834, 14.38104, 9.088834, 14.38104, 0, 0
Line.L95, 5.032826, -40.32029, 5.032826, -40.32029, 0, 0
Line.L96, 13.81628, 22.14508, 13.81628, 22.14508, 0, 0
Line.L97, 27.24209, 45.35251, 27.24209, 45.35251, 0, 0
Line.L98, 9.046236, 13.65156, 9.046236, 13.65156, 0, 0
Line.L99, 2.207703E-007, -17.78635, 2.207703E-007, -17.78635, 0, 0
Line.L100, 110.4967, 6.538558, 110.4967, 6.538558, 0, 0
Line.L101, 62.95026, 139.7445, 62.95026, 139.7445, 0, 0
Line.L102, 191.8689, 25.44711, 191.8689, 25.44711, 0, 0
Line.L103, 162.5061, -70.53933, 162.5061, -70.53933, 0, 0
Line.L104, 88.95386, -6.932579, 88.95386, -6.932579, 0, 0
Line.L105, 123.7334, 278.3408, 123.7334, 278.3408, 0, 0
Line.L106, 56.91471, -97.26612, 56.91471, -97.26612, 0, 0
Line.L107, 564.6724, 182.3884, 564.6724, 182.3884, 0, 0
Line.L108, 4.226961E-007, -22.22283, 4.226961E-007, -22.22283, 0, 0
Line.L109, 187.6086, 28.28004, 187.6086, 28.28004, 0, 0
Line.L110, 15.67981, -115.8114, 15.67981, -115.8114, 0, 0
Line.L111, 48.94206, -2.658826, 48.94206, -2.658826, 0, 0
Line.L112, 114.8159, -55.9839, 114.8159, -55.9839, 0, 0
Line.L113, 8.905657, -65.36895, 8.905657, -65.36895, 0, 0
Line.L119, 5.94034, 7.731074, 5.94034, 7.731074, 0, 0
Line.L120, 5.630382, 7.682819, 5.630382, 7.682819, 0, 0
Line.L121, 58.88749, 114.5307, 58.88749, 114.5307, 0, 0
Line.L114, 832.6652, 1716.186, 832.6652, 1716.186, 0, 0
Line.L116, 2287.666, 4716.062, 2287.666, 4716.062, 0, 0
Line.L117, 1140.728, 2422.439, 1140.728, 2422.439, 0, 0
Line.L118, 33.52878, 73.0886, 33.52878, 73.0886, 0, 0
